Risk-On_n,Risk-On_4wk_avg,Risk-On_4wk_wr,Risk-On_13wk_avg,Risk-On_13wk_wr,Risk-On_26wk_avg,Risk-On_26wk_wr,Defensive_n,Defensive_4wk_avg,Defensive_4wk_wr,Defensive_13wk_avg,Defensive_13wk_wr,Defensive_26wk_avg,Defensive_26wk_wr,Neutral_n,Neutral_4wk_avg,Neutral_4wk_wr,Neutral_13wk_avg,Neutral_13wk_wr,Neutral_26wk_avg,Neutral_26wk_wr,Spread_26wk,Threshold_Def,Threshold_RO,EWMA_Span,Hysteresis
7,-0.00570253487073472,0.7142857142857143,0.02714998792799239,0.8571428571428571,0.11921233450545247,0.8571428571428571,4,-0.03752215114209215,0.0,-0.021275689133300496,0.5,-0.0017781783861483824,0.5,12,-0.0049555669794208905,0.4166666666666667,0.03262143063377829,0.75,0.1049438437920142,0.8333333333333334,0.12099051289160086,8,-8,6,5
7,-0.00570253487073472,0.7142857142857143,0.02714998792799239,0.8571428571428571,0.11921233450545247,0.8571428571428571,4,-0.03752215114209215,0.0,-0.021275689133300496,0.5,-0.0017781783861483824,0.5,12,-0.0049555669794208905,0.4166666666666667,0.03262143063377829,0.75,0.1049438437920142,0.8333333333333334,0.12099051289160086,8,-8,6,3
7,-0.00570253487073472,0.7142857142857143,0.02714998792799239,0.8571428571428571,0.11921233450545247,0.8571428571428571,4,-0.03752215114209215,0.0,-0.021275689133300496,0.5,-0.0017781783861483824,0.5,12,-0.0049555669794208905,0.4166666666666667,0.03262143063377829,0.75,0.1049438437920142,0.8333333333333334,0.12099051289160086,8,-8,6,0
5,0.031291726416796097,0.8,0.06605462886069788,1.0,0.15191578958209956,1.0,5,-0.0276791584540518,0.2,-0.005481159111410605,0.4,0.03793505108308313,0.6,11,0.00023473521609659623,0.45454545454545453,0.03454472291491799,0.7272727272727273,0.10436873579382039,0.8181818181818182,0.11398073849901644,8,-8,7,3
5,0.031291726416796097,0.8,0.06605462886069788,1.0,0.15191578958209956,1.0,5,-0.0276791584540518,0.2,-0.005481159111410605,0.4,0.03793505108308313,0.6,11,0.00023473521609659623,0.45454545454545453,0.03454472291491799,0.7272727272727273,0.10436873579382039,0.8181818181818182,0.11398073849901644,8,-8,7,5
5,0.031291726416796097,0.8,0.06605462886069788,1.0,0.15191578958209956,1.0,5,-0.0276791584540518,0.2,-0.005481159111410605,0.4,0.03793505108308313,0.6,11,0.00023473521609659623,0.45454545454545453,0.03454472291491799,0.7272727272727273,0.10436873579382039,0.8181818181818182,0.11398073849901644,8,-8,7,0
11,-0.007451728065336601,0.6363636363636364,0.02438536533154769,0.6363636363636364,0.08991352143351386,0.8181818181818182,5,-0.05536208861240674,0.0,-0.026383349928035787,0.5,-0.012840303438366646,0.5,17,-0.005013692678519088,0.5625,0.024717968108568696,0.625,0.0898641654777077,0.875,0.1027538248718805,9,-9,3,3
11,-0.007451728065336601,0.6363636363636364,0.02438536533154769,0.6363636363636364,0.08991352143351386,0.8181818181818182,5,-0.05536208861240674,0.0,-0.026383349928035787,0.5,-0.012840303438366646,0.5,17,-0.005013692678519088,0.5625,0.024717968108568696,0.625,0.0898641654777077,0.875,0.1027538248718805,9,-9,3,0
11,-0.007451728065336601,0.6363636363636364,0.02438536533154769,0.6363636363636364,0.08991352143351386,0.8181818181818182,5,-0.05536208861240674,0.0,-0.026383349928035787,0.5,-0.012840303438366646,0.5,17,-0.005013692678519088,0.5625,0.024717968108568696,0.625,0.0898641654777077,0.875,0.1027538248718805,9,-9,3,5
4,-0.025876972856990976,0.75,0.017473562863207837,0.75,0.08884087515398842,0.75,5,-0.03716143384346046,0.0,-0.024104075250207024,0.5,-0.003358527525389121,0.5,10,-0.0022541217954572534,0.5555555555555556,0.02349388639453974,0.6666666666666666,0.08806918262743674,0.8888888888888888,0.09219940267937754,7,-7,7,0
4,-0.025876972856990976,0.75,0.017473562863207837,0.75,0.08884087515398842,0.75,5,-0.03716143384346046,0.0,-0.024104075250207024,0.5,-0.003358527525389121,0.5,10,-0.0022541217954572534,0.5555555555555556,0.02349388639453974,0.6666666666666666,0.08806918262743674,0.8888888888888888,0.09219940267937754,7,-7,7,5
4,-0.025876972856990976,0.75,0.017473562863207837,0.75,0.08884087515398842,0.75,5,-0.03716143384346046,0.0,-0.024104075250207024,0.5,-0.003358527525389121,0.5,10,-0.0022541217954572534,0.5555555555555556,0.02349388639453974,0.6666666666666666,0.08806918262743674,0.8888888888888888,0.09219940267937754,7,-7,7,3
10,0.009066804987292853,0.7,0.01018832921762849,0.7,0.09323500964814678,0.9,8,-0.019208270459216303,0.25,-0.012945899853784835,0.42857142857142855,0.010499793073413548,0.7142857142857143,19,-0.0021639974252487784,0.5,0.025143187097935202,0.7222222222222222,0.08551799919454682,0.8333333333333334,0.08273521657473323,8,-8,3,3
10,0.009066804987292853,0.7,0.01018832921762849,0.7,0.09323500964814678,0.9,8,-0.019208270459216303,0.25,-0.012945899853784835,0.42857142857142855,0.010499793073413548,0.7142857142857143,19,-0.0021639974252487784,0.5,0.025143187097935202,0.7222222222222222,0.08551799919454682,0.8333333333333334,0.08273521657473323,8,-8,3,5
10,0.009066804987292853,0.7,0.01018832921762849,0.7,0.09323500964814678,0.9,8,-0.019208270459216303,0.25,-0.012945899853784835,0.42857142857142855,0.010499793073413548,0.7142857142857143,19,-0.0021639974252487784,0.5,0.025143187097935202,0.7222222222222222,0.08551799919454682,0.8333333333333334,0.08273521657473323,8,-8,3,0
9,0.008067016480341792,0.6666666666666666,0.030295303860791527,0.7777777777777778,0.09672995729203278,0.8888888888888888,8,-0.012630258660231883,0.2857142857142857,-0.003257004299256191,0.5714285714285714,0.028974349176255916,0.7142857142857143,18,0.0023699567471667403,0.5294117647058824,0.03324860087476249,0.7647058823529411,0.08930220166242624,0.8235294117647058,0.06775560811577686,8,-8,4,3
9,0.008067016480341792,0.6666666666666666,0.030295303860791527,0.7777777777777778,0.09672995729203278,0.8888888888888888,8,-0.012630258660231883,0.2857142857142857,-0.003257004299256191,0.5714285714285714,0.028974349176255916,0.7142857142857143,18,0.0023699567471667403,0.5294117647058824,0.03324860087476249,0.7647058823529411,0.08930220166242624,0.8235294117647058,0.06775560811577686,8,-8,4,0
9,0.008067016480341792,0.6666666666666666,0.030295303860791527,0.7777777777777778,0.09672995729203278,0.8888888888888888,8,-0.012630258660231883,0.2857142857142857,-0.003257004299256191,0.5714285714285714,0.028974349176255916,0.7142857142857143,18,0.0023699567471667403,0.5294117647058824,0.03324860087476249,0.7647058823529411,0.08930220166242624,0.8235294117647058,0.06775560811577686,8,-8,4,5
6,0.01726417595154937,0.8333333333333334,0.012782819131046655,0.6666666666666666,0.07313883243438685,0.8333333333333334,8,-0.0189800162267314,0.25,0.015039872573640653,0.7142857142857143,0.031823015368970156,0.7142857142857143,15,0.004852825275495013,0.5714285714285714,0.039300974278263213,0.7857142857142857,0.08078191708357911,0.7857142857142857,0.04131581706541669,7,-7,4,3
6,0.01726417595154937,0.8333333333333334,0.012782819131046655,0.6666666666666666,0.07313883243438685,0.8333333333333334,8,-0.0189800162267314,0.25,0.015039872573640653,0.7142857142857143,0.031823015368970156,0.7142857142857143,15,0.004852825275495013,0.5714285714285714,0.039300974278263213,0.7857142857142857,0.08078191708357911,0.7857142857142857,0.04131581706541669,7,-7,4,5
6,0.01726417595154937,0.8333333333333334,0.012782819131046655,0.6666666666666666,0.07313883243438685,0.8333333333333334,8,-0.0189800162267314,0.25,0.015039872573640653,0.7142857142857143,0.031823015368970156,0.7142857142857143,15,0.004852825275495013,0.5714285714285714,0.039300974278263213,0.7857142857142857,0.08078191708357911,0.7857142857142857,0.04131581706541669,7,-7,4,0
6,-0.008816730988896107,0.6666666666666666,0.025574901458942218,0.6666666666666666,0.07480302238719684,0.8333333333333334,7,-0.0160445074777635,0.16666666666666666,0.008237986779702519,0.6666666666666666,0.039604359089613204,0.6666666666666666,14,0.00022570812050956782,0.5384615384615384,0.03265998721460914,0.7692307692307693,0.07829526422712092,0.8461538461538461,0.035198663297583636,7,-7,6,5
6,-0.008816730988896107,0.6666666666666666,0.025574901458942218,0.6666666666666666,0.07480302238719684,0.8333333333333334,7,-0.0160445074777635,0.16666666666666666,0.008237986779702519,0.6666666666666666,0.039604359089613204,0.6666666666666666,14,0.00022570812050956782,0.5384615384615384,0.03265998721460914,0.7692307692307693,0.07829526422712092,0.8461538461538461,0.035198663297583636,7,-7,6,0
6,-0.008816730988896107,0.6666666666666666,0.025574901458942218,0.6666666666666666,0.07480302238719684,0.8333333333333334,7,-0.0160445074777635,0.16666666666666666,0.008237986779702519,0.6666666666666666,0.039604359089613204,0.6666666666666666,14,0.00022570812050956782,0.5384615384615384,0.03265998721460914,0.7692307692307693,0.07829526422712092,0.8461538461538461,0.035198663297583636,7,-7,6,3
10,0.005154978097390228,0.6,0.021125085911754916,0.7,0.07156750675577378,0.9,9,-0.011281569566369783,0.4444444444444444,0.009464420931932838,0.625,0.03850868762254327,0.75,19,0.002507947248137918,0.5263157894736842,0.03454370469575279,0.8421052631578947,0.08292005340883672,0.8947368421052632,0.03305881913323051,6,-6,4,3
10,0.005154978097390228,0.6,0.021125085911754916,0.7,0.07156750675577378,0.9,9,-0.011281569566369783,0.4444444444444444,0.009464420931932838,0.625,0.03850868762254327,0.75,19,0.002507947248137918,0.5263157894736842,0.03454370469575279,0.8421052631578947,0.08292005340883672,0.8947368421052632,0.03305881913323051,6,-6,4,5
10,0.005154978097390228,0.6,0.021125085911754916,0.7,0.07156750675577378,0.9,9,-0.011281569566369783,0.4444444444444444,0.009464420931932838,0.625,0.03850868762254327,0.75,19,0.002507947248137918,0.5263157894736842,0.03454370469575279,0.8421052631578947,0.08292005340883672,0.8947368421052632,0.03305881913323051,6,-6,4,0
6,-0.003924449325610997,0.6666666666666666,0.020150472790183005,0.6666666666666666,0.06588644727840574,0.8333333333333334,7,-0.028178277323727685,0.16666666666666666,0.006718470327816676,0.6666666666666666,0.033283175147628186,0.6666666666666666,14,0.005316244403561505,0.6153846153846154,0.036813199305128344,0.7692307692307693,0.08373321718317485,0.8461538461538461,0.03260327213077756,7,-7,5,0
6,-0.003924449325610997,0.6666666666666666,0.020150472790183005,0.6666666666666666,0.06588644727840574,0.8333333333333334,7,-0.028178277323727685,0.16666666666666666,0.006718470327816676,0.6666666666666666,0.033283175147628186,0.6666666666666666,14,0.005316244403561505,0.6153846153846154,0.036813199305128344,0.7692307692307693,0.08373321718317485,0.8461538461538461,0.03260327213077756,7,-7,5,3
6,-0.003924449325610997,0.6666666666666666,0.020150472790183005,0.6666666666666666,0.06588644727840574,0.8333333333333334,7,-0.028178277323727685,0.16666666666666666,0.006718470327816676,0.6666666666666666,0.033283175147628186,0.6666666666666666,14,0.005316244403561505,0.6153846153846154,0.036813199305128344,0.7692307692307693,0.08373321718317485,0.8461538461538461,0.03260327213077756,7,-7,5,5
8,0.005374805906056032,0.625,0.016359064161935485,0.625,0.0639556504533131,0.875,9,-0.008922767701266345,0.4444444444444444,0.010033452480202376,0.625,0.0369681052788436,0.75,17,0.002323633821950875,0.5294117647058824,0.02706548919746879,0.8235294117647058,0.08061184161698352,0.8823529411764706,0.026987545174469496,6,-6,5,5
8,0.005374805906056032,0.625,0.016359064161935485,0.625,0.0639556504533131,0.875,9,-0.008922767701266345,0.4444444444444444,0.010033452480202376,0.625,0.0369681052788436,0.75,17,0.002323633821950875,0.5294117647058824,0.02706548919746879,0.8235294117647058,0.08061184161698352,0.8823529411764706,0.026987545174469496,6,-6,5,0
